,ItemCode, WarehouseCode, BinLocation, ReorderMethod, QuantityOnHand, QuantityOnPurchaseOrder, QuantityOnSalesOrder, QuantityOnBackOrder, AverageCost, QuantityRequiredForWO, EconomicOrderQty, ReorderPointQty, MinimumOrderQty, MaximumOnHandQty, QuantityOnWorkOrder, QuantityInShipping, TotalWarehouseValue, CostCalcQtyCommitted, CostCalcCostCommitted, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, LastPhysicalCountDate
303,026014C,MTG,,E,0.000000,0.000000,0.000000,0.000000,37.925500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-12-16,10.30831,0000000003,2022-09-30
304,026014CTA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.482300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-12-12,15.4967,0000000003,2022-09-30
305,026014DG-A,MTG,,E,0.000000,0.000000,0.000000,0.000000,36.485900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.40396,0000000007,2022-11-02,11.85632,0000000003,2022-09-30
306,026014DG-ATA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.318400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.42113,0000000007,2022-11-02,8.20059,0000000003,2022-09-30
307,026014FP,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.927300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2021-09-14,7.79673,0000000049,2022-10-01,12.25146,0000000055,2022-09-30
308,026014LM,MTG,,E,0.000000,0.000000,0.000000,0.000000,26.573000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2020-10-26,10.32265,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
309,026014LMTA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,2.351100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2020-10-26,10.3637,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
310,026014N,MTG,,E,0.000000,0.000000,0.000000,0.000000,1.419000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2021-07-07,13.20125,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
311,026014TA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,2.279400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
312,026014TA1,REW,,E,0.000000,0.000000,0.000000,0.000000,1.531100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
313,026014UN,MTG,,E,0.000000,0.000000,0.000000,0.000000,22.123100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
314,026016,MTG,,E,0.000000,0.000000,0.000000,94.000000,52.531800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2023-01-10,14.64926,0000000003,2022-09-30
315,026016C,MTG,,E,0.000000,0.000000,0.000000,0.000000,32.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
316,026016DGP-A,MTG,,E,0.000000,0.000000,0.000000,0.000000,25.505000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.51019,0000000007,2022-11-02,11.85632,0000000003,2022-09-30
317,026016LM,MTG,,E,0.000000,0.000000,0.000000,0.000000,18.438000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2020-10-26,10.55515,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
318,026016PUN,MTG,,E,0.000000,0.000000,0.000000,0.000000,15.504200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2013-10-17,6.97392,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
319,026103,MTG,,E,0.000000,0.000000,0.000000,0.000000,18.266400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
320,026103C,MTG,,E,0.000000,0.000000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
321,026103CTA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.934700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
322,026103TA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,1.105100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
323,026114,MTG,,E,0.000000,0.000000,0.000000,0.000000,38.963000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
324,026114C,MTG,,E,0.000000,0.000000,0.000000,0.000000,32.905000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
325,026114CTA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,2.991600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
326,026114TA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.728400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
327,026116,MTG,,E,0.000000,0.000000,0.000000,0.000000,27.667300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
328,026116C,MTG,,E,0.000000,0.000000,0.000000,0.000000,22.478000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
329,026214,MTG,,E,0.000000,0.000000,75.000000,0.000000,33.084900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-12-29,10.16436,0000000049,2022-09-30
330,026214C,MTG,,E,0.000000,0.000000,0.000000,0.000000,28.628400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
331,026214CTA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
332,026214FP,MTG,,E,0.000000,0.000000,0.000000,0.000000,40.915600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2021-09-14,7.9444,0000000049,2022-11-22,13.36804,0000000003,2022-09-30
333,026214TA1,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.389700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-11-16,7.37242,0000000003,2022-09-30
334,026710,MTG,,E,0.000000,0.000000,0.000000,0.000000,7.653800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
335,026710C,MTG,,E,0.000000,0.000000,0.000000,0.000000,8.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
336,026732,MTG,,E,0.000000,0.000000,0.000000,0.000000,13.987700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
337,026732C,MTG,,E,0.000000,0.000000,0.000000,0.000000,13.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
338,026810,MTG,,E,0.000000,0.000000,0.000000,0.000000,10.634800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
339,026810C,MTG,,E,0.000000,0.000000,0.000000,0.000000,10.804300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
340,026832,MTG,,E,0.000000,0.000000,0.000000,0.000000,23.727700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
341,026832C,MTG,,E,0.000000,0.000000,0.000000,0.000000,23.709200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
342,027000,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
343,027000LME,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2017-10-02,6.31483,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
344,027005,MTG,,E,0.000000,0.000000,0.000000,0.000000,42.642500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2016-02-26,5.61089,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
345,027010,MTG,,E,0.000000,0.000000,75.000000,0.000000,17.625100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-12-29,10.16443,0000000049,2022-09-30
