,itemcode,warehousecode,transactiondate,transactioncode,transactionqty
0,022019,MTG,2019-01-03,BR,4620.000000
1,085116PC,MTG,2019-01-03,BR,250.000000
2,100120,MTG,2019-01-03,BR,2100.000000
3,022019,MTG,2019-01-04,BR,8085.000000
4,100120,MTG,2019-01-04,BR,2100.000000
5,022001,MTG,2019-01-07,BR,8534.000000
6,022019,MTG,2019-01-07,BR,6930.000000
7,050630,MTG,2019-01-07,BR,1657.000000
8,071622DGP-A,MTG,2019-01-07,BR,51.000000
9,071622DSN,MTG,2019-01-07,BR,100.000000
10,071622GF,MTG,2019-01-07,BR,100.000000
11,071622IF,MTG,2019-01-07,BR,30.000000
12,080116IF,MTG,2019-01-07,BR,10.000000
13,080116SP,MTG,2019-01-07,BR,10.000000
14,081022,MTG,2019-01-07,BR,50.000000
15,081022C,MTG,2019-01-07,BR,25.000000
16,083222DG,MTG,2019-01-07,BR,50.000000
17,083222GF,MTG,2019-01-07,BR,100.000000
18,083222P,MTG,2019-01-07,BR,351.000000
19,085116GF,MTG,2019-01-07,BR,100.000000
20,085116PW,MTG,2019-01-07,BR,150.000000
21,085716F,MTG,2019-01-07,BR,30.000000
22,085716GT,MTG,2019-01-07,BR,10.000000
23,085732F,MTG,2019-01-07,BR,20.000000
24,085732IF,MTG,2019-01-07,BR,26.000000
25,087308C,MTG,2019-01-07,BR,10.000000
26,087308GF,MTG,2019-01-07,BR,40.000000
27,088922P,MTG,2019-01-07,BR,100.000000
28,089970,MTG,2019-01-07,BR,50.000000
29,093032C,MTG,2019-01-07,BR,75.000000
30,093132DGP-A,MTG,2019-01-07,BR,49.000000
31,095122DGP-A,MTG,2019-01-07,BR,30.000000
32,095122DSN,MTG,2019-01-07,BR,98.000000
33,095222,MTG,2019-01-07,BR,125.000000
34,095222GF,MTG,2019-01-07,BR,30.000000
35,100120,MTG,2019-01-07,BR,2100.000000
36,102005-NP,MTG,2019-01-07,BR,30.000000
37,103000,MTG,2019-01-07,BR,100.000000
38,122032,MTG,2019-01-07,BR,30.000000
39,14308.B,MTG,2019-01-07,BR,4250.000000
40,14332,MTG,2019-01-07,BR,100.000000
41,14332UN,MTG,2019-01-07,BR,10.000000
42,15941420,MTG,2019-01-07,BR,50.000000
43,15941438,MTG,2019-01-07,BR,50.000000
44,15941446,MTG,2019-01-07,BR,35.000000
45,15941453,MTG,2019-01-07,BR,50.000000
46,19902.B,MTG,2019-01-07,BR,2500.000000
47,208367,MTG,2019-01-07,BR,1665.000000
48,208367V2.B,MTG,2019-01-07,BR,5100.000000
49,208367V2.B,MTG,2019-01-07,BR,5100.000000
50,235826-35.B,MTG,2019-01-07,BR,5100.000000
51,235826-35.B,MTG,2019-01-07,BR,5100.000000
52,238197-21,MTG,2019-01-07,BR,825.000000
53,238197-35.B,MTG,2019-01-07,BR,5100.000000
54,3704673,MTG,2019-01-07,BR,100.000000
55,52205,MTG,2019-01-07,BR,5.000000
56,602000,MTG,2019-01-07,BR,1250.000000
57,602017,MTG,2019-01-07,BR,1000.000000
58,602017,MTG,2019-01-07,BR,2500.000000
59,602020,MTG,2019-01-07,BR,1000.000000
60,602046,MTG,2019-01-07,BR,1000.000000
61,7841265,MTG,2019-01-07,BR,72.000000
62,7841265,MTG,2019-01-07,BR,24.000000
63,856G55,MTG,2019-01-07,BR,3.000000
64,96100.B,MTG,2019-01-07,BR,750.000000
65,BK.7652950,MTG,2019-01-07,BR,197.000000
66,BP25397,MTG,2019-01-07,BR,150.000000
67,BP2543742,MTG,2019-01-07,BR,100.000000
68,BP56639,MTG,2019-01-07,BR,79.000000
69,ET13710,MTG,2019-01-07,BR,101.000000
70,022001,MTG,2019-01-08,BR,12949.000000
71,022019,MTG,2019-01-08,BR,6930.000000
72,075032,MTG,2019-01-08,BR,50.000000
73,080532PW,MTG,2019-01-08,BR,100.000000
74,081318GF,MTG,2019-01-08,BR,30.000000
75,085616P,MTG,2019-01-08,BR,576.000000
76,085616P,MTG,2019-01-08,BR,1344.000000
77,085616PC,MTG,2019-01-08,BR,400.000000
78,087916,MTG,2019-01-08,BR,23.000000
79,087916N,MTG,2019-01-08,BR,50.000000
80,087932,MTG,2019-01-08,BR,50.000000
81,087932N,MTG,2019-01-08,BR,10.000000
82,088032,MTG,2019-01-08,BR,25.000000
83,089732GF,MTG,2019-01-08,BR,100.000000
84,089732PC,MTG,2019-01-08,BR,100.000000
85,089736P,MTG,2019-01-08,BR,100.000000
86,089965,MTG,2019-01-08,BR,20.000000
87,089990,MTG,2019-01-08,BR,50.000000
88,093132EF,MTG,2019-01-08,BR,30.000000
89,093932,MTG,2019-01-08,BR,50.000000
90,094100,MTG,2019-01-08,BR,63.000000
91,100120,MTG,2019-01-08,BR,2100.000000
92,100122,MTG,2019-01-08,BR,1575.000000
93,11167012,MTG,2019-01-08,BR,50.000000
94,114000ORANGE.B,MTG,2019-01-08,BR,1500.000000
95,15003684,MTG,2019-01-08,BR,100.000000
96,17997545,MTG,2019-01-08,BR,540.000000
97,17997552,MTG,2019-01-08,BR,78.000000
98,17997578,MTG,2019-01-08,BR,108.000000
99,303000.B,MTG,2019-01-08,BR,1250.000000
100,303000.B,MTG,2019-01-08,BR,30000.000000
101,303000.B,MTG,2019-01-08,BR,12500.000000
102,500400,MTG,2019-01-08,BR,5100.000000
103,500500,MTG,2019-01-08,BR,5100.000000
104,602017,MTG,2019-01-08,BR,2500.000000
105,602046,MTG,2019-01-08,BR,2700.000000
106,602046,MTG,2019-01-08,BR,2700.000000
107,7841265,MTG,2019-01-08,BR,48.000000
108,89950P1CFS,MTG,2019-01-08,BR,3000.000000
109,90601,MTG,2019-01-08,BR,50.000000
110,90701,MTG,2019-01-08,BR,50.000000
111,94200.B,MTG,2019-01-08,BR,250.000000
112,BP78726,MTG,2019-01-08,BR,401.000000
113,KIT89965,MTG,2019-01-08,BR,25.000000
114,022001,MTG,2019-01-09,BR,13081.000000
115,022008,MTG,2019-01-09,BR,1575.000000
116,022019,MTG,2019-01-09,BR,8085.000000
117,031003,MTG,2019-01-09,BR,820.000000
118,031005,MTG,2019-01-09,BR,818.000000
119,038010,MTG,2019-01-09,BR,40.000000
120,040618,MTG,2019-01-09,BR,26.000000
121,071732,MTG,2019-01-09,BR,50.000000
122,081632,MTG,2019-01-09,BR,100.000000
123,083702,MTG,2019-01-09,BR,48.000000
124,085132DSN,MTG,2019-01-09,BR,100.000000
125,085132IF,MTG,2019-01-09,BR,40.000000
126,085132PUN,MTG,2019-01-09,BR,25.000000
127,085132WK,MTG,2019-01-09,BR,30.000000
128,085616P,MTG,2019-01-09,BR,334.000000
129,0859GA5,MTG,2019-01-09,BR,1.000000
130,089732PW,MTG,2019-01-09,BR,150.000000
131,094100,MTG,2019-01-09,BR,12.000000
132,095916N,MTG,2019-01-09,BR,200.000000
133,096216N,MTG,2019-01-09,BR,302.000000
134,097316,MTG,2019-01-09,BR,304.000000
135,100136,MTG,2019-01-09,BR,525.000000
136,14308EMPTY,MTG,2019-01-09,BR,53.000000
137,14308W,MTG,2019-01-09,BR,250.000000
138,14399,MTG,2019-01-09,BR,1.000000
139,17997545,MTG,2019-01-09,BR,180.000000
140,18009951,MTG,2019-01-09,BR,100.000000
141,19009,MTG,2019-01-09,BR,72.000000
142,19200,MTG,2019-01-09,BR,720.000000
143,28000.B,MTG,2019-01-09,BR,600.000000
144,28100.B,MTG,2019-01-09,BR,750.000000
145,28200.B,MTG,2019-01-09,BR,500.000000
146,303000.B,MTG,2019-01-09,BR,50000.000000
147,3704681TA1,MTG,2019-01-09,BR,2400.000000
148,5359351.B,MTG,2019-01-09,BR,2250.000000
149,602017,MTG,2019-01-09,BR,2250.000000
150,602042,MTG,2019-01-09,BR,900.000000
151,602046,MTG,2019-01-09,BR,2700.000000
152,602070,MTG,2019-01-09,BR,550.000000
153,602071,MTG,2019-01-09,BR,700.000000
154,7603,MTG,2019-01-09,BR,25.000000
155,7841265,MTG,2019-01-09,BR,96.000000
156,81500.B,MTG,2019-01-09,BR,250.000000
157,89950P1CFS,MTG,2019-01-09,BR,5000.000000
158,98905,MTG,2019-01-09,BR,1.000000
159,OS022014,MTG,2019-01-09,BR,6630.000000
160,OS022016,MTG,2019-01-09,BR,15680.000000
161,022001,MTG,2019-01-10,BR,3339.000000
162,022009,MTG,2019-01-10,BR,3168.000000
163,022019,MTG,2019-01-10,BR,9240.000000
164,026214,MTG,2019-01-10,BR,40.000000
165,026214C,MTG,2019-01-10,BR,10.000000
166,026214CTA1,MTG,2019-01-10,BR,100.000000
167,026214TA1,MTG,2019-01-10,BR,400.000000
168,027800,MTG,2019-01-10,BR,20.000000
169,028209,MTG,2019-01-10,BR,36.000000
170,085632,MTG,2019-01-10,BR,300.000000
171,089232F,MTG,2019-01-10,BR,50.000000
172,093032FF,MTG,2019-01-10,BR,50.000000
173,093032SS,MTG,2019-01-10,BR,72.000000
174,095932,MTG,2019-01-10,BR,64.000000
175,096132,MTG,2019-01-10,BR,301.000000
176,097232,MTG,2019-01-10,BR,79.000000
177,098932,MTG,2019-01-10,BR,100.000000
178,100136,MTG,2019-01-10,BR,1575.000000
179,120032,MTG,2019-01-10,BR,57.000000
180,120132,MTG,2019-01-10,BR,50.000000
181,14308W,MTG,2019-01-10,BR,1750.000000
182,17997347,MTG,2019-01-10,BR,60.000000
183,17997347,MTG,2019-01-10,BR,40.000000
184,17997362,MTG,2019-01-10,BR,100.000000
185,17997404,MTG,2019-01-10,BR,150.000000
186,17997420,MTG,2019-01-10,BR,100.000000
187,17997511,MTG,2019-01-10,BR,75.000000
188,185CAN-DE050C12,MTG,2019-01-10,BR,75.000000
189,19000,MTG,2019-01-10,BR,180.000000
190,303000.B,MTG,2019-01-10,BR,45000.000000
191,602009,MTG,2019-01-10,BR,2000.000000
192,602032CARB,MTG,2019-01-10,BR,2200.000000
193,602037,MTG,2019-01-10,BR,2000.000000
194,602070,MTG,2019-01-10,BR,400.000000
195,602071,MTG,2019-01-10,BR,900.000000
196,602605,MTG,2019-01-10,BR,1250.000000
197,7841265,MTG,2019-01-10,BR,96.000000
198,86600.B,MTG,2019-01-10,BR,125.000000
199,94400.B,MTG,2019-01-10,BR,250.000000
200,BK.7652700,MTG,2019-01-10,BR,500.000000
201,022009,MTG,2019-01-11,BR,6624.000000
202,022019,MTG,2019-01-11,BR,924.000000
203,022019BLACK,MTG,2019-01-11,BR,2310.000000
204,83200.B,MTG,2019-01-11,BR,1000.000000
205,94700.B,MTG,2019-01-11,BR,300.000000
206,022044B,MTG,2019-01-14,BR,2860.000000
207,071600N,MTG,2019-01-14,BR,100.000000
208,071632F,MTG,2019-01-14,BR,50.000000
209,075832,MTG,2019-01-14,BR,50.000000
210,080400N,MTG,2019-01-14,BR,150.000000
211,083200N,MTG,2019-01-14,BR,40.000000
212,083232,MTG,2019-01-14,BR,100.000000
213,085900N,MTG,2019-01-14,BR,400.000000
214,085900NC,MTG,2019-01-14,BR,50.000000
215,092232DSN,MTG,2019-01-14,BR,101.000000
216,092232P,MTG,2019-01-14,BR,75.000000
217,093032SS,MTG,2019-01-14,BR,72.000000
218,095932,MTG,2019-01-14,BR,98.000000
219,096232,MTG,2019-01-14,BR,200.000000
220,096432,MTG,2019-01-14,BR,75.000000
221,097232DSN,MTG,2019-01-14,BR,100.000000
222,11012663,MTG,2019-01-14,BR,48.000000
223,128695.B,MTG,2019-01-14,BR,800.000000
224,132032,MTG,2019-01-14,BR,100.000000
225,14308-24,MTG,2019-01-14,BR,60.000000
226,14616,MTG,2019-01-14,BR,350.000000
227,14690,MTG,2019-01-14,BR,750.000000
228,17997347,MTG,2019-01-14,BR,-40.000000
229,17997347,MTG,2019-01-14,BR,40.000000
230,303000.B,MTG,2019-01-14,BR,40000.000000
231,33200DIL.B,MTG,2019-01-14,BR,250.000000
232,602003,MTG,2019-01-14,BR,2800.000000
233,602005,MTG,2019-01-14,BR,4000.000000
234,602030,MTG,2019-01-14,BR,125.000000
235,607006,MTG,2019-01-14,BR,2904.000000
236,7841265,MTG,2019-01-14,BR,36.000000
237,89950P1CFS,MTG,2019-01-14,BR,4000.000000
238,90651,MTG,2019-01-14,BR,100.000000
239,90691,MTG,2019-01-14,BR,30.000000
240,94500.B,MTG,2019-01-14,BR,250.000000
241,94600.B,MTG,2019-01-14,BR,350.000000
242,97000DIL.B,MTG,2019-01-14,BR,220.000000
243,97000DIL.B,MTG,2019-01-14,BR,220.000000
244,97000DIL.B,MTG,2019-01-14,BR,220.000000
245,97100.B,MTG,2019-01-14,BR,240.000000
246,BP56653,MTG,2019-01-14,BR,40.000000
247,BP78776,MTG,2019-01-14,BR,100.000000
248,022015,MTG,2019-01-15,BR,5880.000000
249,030800,MTG,2019-01-15,BR,50.000000
250,043810,MTG,2019-01-15,BR,1500.000000
251,093032SS,MTG,2019-01-15,BR,72.000000
252,097832,MTG,2019-01-15,BR,350.000000
253,11012663,MTG,2019-01-15,BR,72.000000
254,14308-24,MTG,2019-01-15,BR,780.000000
255,185-DE050C12,MTG,2019-01-15,BR,60.000000
256,19961B,MTG,2019-01-15,BR,20.000000
257,302G55,MTG,2019-01-15,BR,8.000000
258,303000.B,MTG,2019-01-15,BR,36000.000000
259,303G55,MTG,2019-01-15,BR,28.000000
260,337447,MTG,2019-01-15,BR,100.000000
261,601009,MTG,2019-01-15,BR,22.500000
262,601013PA,MTG,2019-01-15,BR,15.000000
263,602022,MTG,2019-01-15,BR,150.000000
264,602077,MTG,2019-01-15,BR,175.000000
265,607006,MTG,2019-01-15,BR,1209.000000
266,607006SK,MTG,2019-01-15,BR,1320.000000
267,90611,MTG,2019-01-15,BR,75.000000
268,90615,MTG,2019-01-15,BR,15.000000
269,93100GAS.B,MTG,2019-01-15,BR,4500.000000
270,93700.B,MTG,2019-01-15,BR,300.000000
271,93700.B,MTG,2019-01-15,BR,300.000000
272,93800.B,MTG,2019-01-15,BR,250.000000
273,022015,MTG,2019-01-16,BR,11760.000000
274,030200N,MTG,2019-01-16,BR,250.000000
275,030300,MTG,2019-01-16,BR,72.000000
276,076116FF,MTG,2019-01-16,BR,50.000000
277,080500N,MTG,2019-01-16,BR,50.000000
278,085600N,MTG,2019-01-16,BR,100.000000
279,085932PW,MTG,2019-01-16,BR,1920.000000
280,093008PC,MTG,2019-01-16,BR,500.000000
281,093032SS,MTG,2019-01-16,BR,34.000000
282,093108,MTG,2019-01-16,BR,100.000000
283,093615,MTG,2019-01-16,BR,30.000000
284,093900N,MTG,2019-01-16,BR,250.000000
285,095222FF,MTG,2019-01-16,BR,50.000000
286,096332,MTG,2019-01-16,BR,75.000000
287,11012663,MTG,2019-01-16,BR,24.000000
288,14308-24,MTG,2019-01-16,BR,660.000000
289,14408C,MTG,2019-01-16,BR,30.000000
290,185-DE050C12,MTG,2019-01-16,BR,132.000000
291,18500.B,MTG,2019-01-16,BR,250.000000
292,18500.B,MTG,2019-01-16,BR,250.000000
293,205-DE050R12,MTG,2019-01-16,BR,64.000000
294,235826-35.B,MTG,2019-01-16,BR,5100.000000
295,27200.B,MTG,2019-01-16,BR,1400.000000
296,303000.B,MTG,2019-01-16,BR,79200.000000
297,303000.B,MTG,2019-01-16,BR,38400.000000
298,602023,MTG,2019-01-16,BR,650.000000
299,602043PURPLE,MTG,2019-01-16,BR,750.000000
300,602059,MTG,2019-01-16,BR,250.000000
301,607006SK,MTG,2019-01-16,BR,2640.000000
302,90711,MTG,2019-01-16,BR,50.000000
303,90715,MTG,2019-01-16,BR,10.000000
304,94900.B,MTG,2019-01-16,BR,250.000000
305,BE1922,MTG,2019-01-16,BR,50.000000
306,022000,MTG,2019-01-17,BR,6641.000000
307,022009,MTG,2019-01-17,BR,3744.000000
308,022015,MTG,2019-01-17,BR,9800.000000
309,050630,MTG,2019-01-17,BR,798.000000
310,085632FF,MTG,2019-01-17,BR,131.000000
311,085932DGP-A,MTG,2019-01-17,BR,151.000000
312,085932PC,MTG,2019-01-17,BR,100.000000
313,085932PW,MTG,2019-01-17,BR,2080.000000
314,093008,MTG,2019-01-17,BR,1750.000000
315,11012663,MTG,2019-01-17,BR,24.000000
316,15026370,MTG,2019-01-17,BR,1300.000000
317,19903USA.B,MTG,2019-01-17,BR,1300.000000
318,27200.B,MTG,2019-01-17,BR,1400.000000
319,28100.B,MTG,2019-01-17,BR,230.000000
320,335826-35,MTG,2019-01-17,BR,20.000000
321,3704681,MTG,2019-01-17,BR,100.000000
322,602037,MTG,2019-01-17,BR,2000.000000
323,8669731,MTG,2019-01-17,BR,216.000000
324,87700.B,MTG,2019-01-17,BR,1000.000000
325,87700.B,MTG,2019-01-17,BR,1000.000000
326,90641,MTG,2019-01-17,BR,25.000000
327,022009,MTG,2019-01-18,BR,4608.000000
328,022015,MTG,2019-01-18,BR,13720.000000
329,022015,MTG,2019-01-21,BR,9800.000000
330,032300,MTG,2019-01-21,BR,100.000000
331,033200,MTG,2019-01-21,BR,50.000000
332,071600FF,MTG,2019-01-21,BR,50.000000
333,081432,MTG,2019-01-21,BR,100.000000
334,081432DSN,MTG,2019-01-21,BR,100.000000
335,081432GF,MTG,2019-01-21,BR,50.000000
336,081532DSN,MTG,2019-01-21,BR,100.000000
337,081532GF,MTG,2019-01-21,BR,50.000000
338,081900N,MTG,2019-01-21,BR,349.000000
339,085900FF,MTG,2019-01-21,BR,131.000000
340,085932DSN,MTG,2019-01-21,BR,100.000000
341,085932IF,MTG,2019-01-21,BR,30.000000
342,0859GA5,MTG,2019-01-21,BR,1.000000
343,093008,MTG,2019-01-21,BR,1250.000000
344,094932DGP-A,MTG,2019-01-21,BR,50.000000
345,094932GF,MTG,2019-01-21,BR,50.000000
346,11012663,MTG,2019-01-21,BR,72.000000
347,12869541,MTG,2019-01-21,BR,98.000000
348,14308C,MTG,2019-01-21,BR,500.000000
349,14649NH,MTG,2019-01-21,BR,480.000000
350,15003700,MTG,2019-01-21,BR,50.000000
351,15003734,MTG,2019-01-21,BR,50.000000
352,18009977,MTG,2019-01-21,BR,100.000000
353,5359880,MTG,2019-01-21,BR,200.000000
354,602003,MTG,2019-01-21,BR,2000.000000
355,602003,MTG,2019-01-21,BR,2000.000000
356,602009,MTG,2019-01-21,BR,750.000000
357,607017,MTG,2019-01-21,BR,1584.000000
358,7597,MTG,2019-01-21,BR,25.000000
359,81500.B,MTG,2019-01-21,BR,625.000000
360,817GA5,MTG,2019-01-21,BR,4.000000
361,857GA5,MTG,2019-01-21,BR,4.000000
362,8669731,MTG,2019-01-21,BR,184.000000
363,95900.B,MTG,2019-01-21,BR,300.000000
364,97000DIL.B,MTG,2019-01-21,BR,150.000000
365,022015,MTG,2019-01-22,BR,15680.000000
366,071761,MTG,2019-01-22,BR,50.000000
367,071763,MTG,2019-01-22,BR,50.000000
368,072808,MTG,2019-01-22,BR,50.000000
369,075008,MTG,2019-01-22,BR,50.000000
370,076308,MTG,2019-01-22,BR,50.000000
371,081400EUR,MTG,2019-01-22,BR,162.000000
372,081700N,MTG,2019-01-22,BR,50.000000
373,081732DSN,MTG,2019-01-22,BR,100.000000
374,081732GF,MTG,2019-01-22,BR,150.000000
375,081732PW,MTG,2019-01-22,BR,500.000000
376,081900NC,MTG,2019-01-22,BR,60.000000
377,089738PC,MTG,2019-01-22,BR,100.000000
378,092600,MTG,2019-01-22,BR,40.000000
379,092800,MTG,2019-01-22,BR,30.000000
380,093732,MTG,2019-01-22,BR,100.000000
381,094732,MTG,2019-01-22,BR,75.000000
382,097800,MTG,2019-01-22,BR,175.000000
383,100119,MTG,2019-01-22,BR,792.000000
384,11007283,MTG,2019-01-22,BR,200.000000
385,11012663,MTG,2019-01-22,BR,48.000000
386,12869558,MTG,2019-01-22,BR,50.000000
387,14087746,MTG,2019-01-22,BR,53.000000
388,14087761,MTG,2019-01-22,BR,31.000000
389,14649NH,MTG,2019-01-22,BR,270.000000
390,15003726,MTG,2019-01-22,BR,200.000000
391,18009993,MTG,2019-01-22,BR,50.000000
392,19961,MTG,2019-01-22,BR,45.000000
393,19961ES,MTG,2019-01-22,BR,40.000000
394,19961SBE,MTG,2019-01-22,BR,75.000000
395,205-DE050R12,MTG,2019-01-22,BR,103.000000
396,303000.B,MTG,2019-01-22,BR,61800.000000
397,33655,MTG,2019-01-22,BR,8.000000
398,602000,MTG,2019-01-22,BR,1000.000000
399,602017,MTG,2019-01-22,BR,2750.000000
400,602046,MTG,2019-01-22,BR,1000.000000
401,602078,MTG,2019-01-22,BR,125.000000
402,607006GRN,MTG,2019-01-22,BR,462.000000
403,607017,MTG,2019-01-22,BR,359.000000
404,7-1097,MTG,2019-01-22,BR,40.000000
405,7580,MTG,2019-01-22,BR,25.000000
406,7841265,MTG,2019-01-22,BR,24.000000
407,7841265,MTG,2019-01-22,BR,24.000000
408,80955,MTG,2019-01-22,BR,2.000000
409,90791,MTG,2019-01-22,BR,25.000000
410,94400.B,MTG,2019-01-22,BR,250.000000
411,94600.B,MTG,2019-01-22,BR,250.000000
412,STN-G2,MTG,2019-01-22,BR,108.000000
413,022015,MTG,2019-01-23,BR,13720.000000
414,022023,MTG,2019-01-23,BR,5184.000000
415,027205,MTG,2019-01-23,BR,13.000000
416,028714,MTG,2019-01-23,BR,30.000000
417,028800,MTG,2019-01-23,BR,10.000000
418,079950,MTG,2019-01-23,BR,155.000000
419,081616GF,MTG,2019-01-23,BR,40.000000
420,082708GF,MTG,2019-01-23,BR,100.000000
421,085116DSN,MTG,2019-01-23,BR,100.000000
422,085116PC,MTG,2019-01-23,BR,100.000000
423,085116PUN,MTG,2019-01-23,BR,90.000000
424,085116WK,MTG,2019-01-23,BR,50.000000
425,091016IF,MTG,2019-01-23,BR,26.000000
426,093625C,MTG,2019-01-23,BR,49.000000
427,093700N,MTG,2019-01-23,BR,50.000000
428,093832,MTG,2019-01-23,BR,75.000000
429,094532,MTG,2019-01-23,BR,68.000000
430,094632P,MTG,2019-01-23,BR,175.000000
431,11012663,MTG,2019-01-23,BR,24.000000
432,15026362,MTG,2019-01-23,BR,800.000000
433,18009944,MTG,2019-01-23,BR,100.000000
434,185-DE050C12,MTG,2019-01-23,BR,120.000000
435,19961,MTG,2019-01-23,BR,122.000000
436,235826-35.B,MTG,2019-01-23,BR,2400.000000
437,303000.B,MTG,2019-01-23,BR,72000.000000
438,401141,MTG,2019-01-23,BR,30.000000
439,435059,MTG,2019-01-23,BR,20.000000
440,501,MTG,2019-01-23,BR,880.000000
441,5359351.B,MTG,2019-01-23,BR,2000.000000
442,5359872,MTG,2019-01-23,BR,60.000000
443,602010,MTG,2019-01-23,BR,250.000000
444,602077,MTG,2019-01-23,BR,150.000000
445,86600.B,MTG,2019-01-23,BR,200.000000
446,93100DSL.B,MTG,2019-01-23,BR,2000.000000
447,93100TANK.B,MTG,2019-01-23,BR,250.000000
448,94000CON.B,MTG,2019-01-23,BR,400.000000
449,94000RTU.B,MTG,2019-01-23,BR,250.000000
450,964,MTG,2019-01-23,BR,2.000000
451,BP56837,MTG,2019-01-23,BR,100.000000
452,BPC60000,MTG,2019-01-23,BR,15.000000
453,STN-G1,MTG,2019-01-23,BR,360.000000
454,STN-G2,MTG,2019-01-23,BR,540.000000
455,022015,MTG,2019-01-24,BR,15680.000000
456,022023,MTG,2019-01-24,BR,380.000000
457,022024,MTG,2019-01-24,BR,6624.000000
458,079950,MTG,2019-01-24,BR,295.000000
459,080216GF,MTG,2019-01-24,BR,100.000000
460,080216PC,MTG,2019-01-24,BR,50.000000
461,081216,MTG,2019-01-24,BR,50.000000
462,081216A,MTG,2019-01-24,BR,300.000000
463,081216B,MTG,2019-01-24,BR,300.000000
464,081216C,MTG,2019-01-24,BR,300.000000
465,081416,MTG,2019-01-24,BR,75.000000
466,081416GF,MTG,2019-01-24,BR,50.000000
467,081516GF,MTG,2019-01-24,BR,30.000000
468,081716DGP-A,MTG,2019-01-24,BR,50.000000
469,082016GF,MTG,2019-01-24,BR,150.000000
470,082614GF,MTG,2019-01-24,BR,20.000000
471,083416IF,MTG,2019-01-24,BR,36.000000
472,085116PW,MTG,2019-01-24,BR,200.000000
473,085600FF,MTG,2019-01-24,BR,40.000000
474,085716IF,MTG,2019-01-24,BR,50.000000
475,087208GF,MTG,2019-01-24,BR,50.000000
476,087764,MTG,2019-01-24,BR,401.000000
477,087764GF,MTG,2019-01-24,BR,25.000000
478,087764WK,MTG,2019-01-24,BR,50.000000
479,089632IF,MTG,2019-01-24,BR,20.000000
480,089732IF,MTG,2019-01-24,BR,30.000000
481,089737GF,MTG,2019-01-24,BR,50.000000
482,089737P,MTG,2019-01-24,BR,201.000000
483,093108SS,MTG,2019-01-24,BR,50.000000
484,094916DGP-A,MTG,2019-01-24,BR,50.000000
485,11012663,MTG,2019-01-24,BR,72.000000
486,14308SS,MTG,2019-01-24,BR,50.000000
487,15023815,MTG,2019-01-24,BR,100.000000
488,17997685,MTG,2019-01-24,BR,50.000000
489,17997693,MTG,2019-01-24,BR,200.000000
490,185-DE050C12,MTG,2019-01-24,BR,120.000000
491,234192-21,MTG,2019-01-24,BR,399.000000
492,234192-T35.B,MTG,2019-01-24,BR,2640.000000
493,303000.B,MTG,2019-01-24,BR,72000.000000
494,335826-35,MTG,2019-01-24,BR,380.000000
495,501BP,MTG,2019-01-24,BR,200.000000
496,5359872,MTG,2019-01-24,BR,40.000000
497,602032CARB,MTG,2019-01-24,BR,2200.000000
498,602602,MTG,2019-01-24,BR,125.000000
499,7841265,MTG,2019-01-24,BR,24.000000
500,83200.B,MTG,2019-01-24,BR,1500.000000
501,901764,MTG,2019-01-24,BR,551.000000
502,95022.B,MTG,2019-01-24,BR,150.000000
503,965,MTG,2019-01-24,BR,4.000000
504,022015,MTG,2019-01-25,BR,9800.000000
505,022024,MTG,2019-01-25,BR,2304.000000
506,83200.B,MTG,2019-01-25,BR,2000.000000
507,022028,MTG,2019-01-28,BR,7840.000000
508,027032,MTG,2019-01-28,BR,125.000000
509,027232,MTG,2019-01-28,BR,75.000000
510,027232C,MTG,2019-01-28,BR,20.000000
511,032300FF,MTG,2019-01-28,BR,90.000000
512,071500FF,MTG,2019-01-28,BR,40.000000
513,071716GF,MTG,2019-01-28,BR,50.000000
514,071716PUN,MTG,2019-01-28,BR,30.000000
515,080416DGP-A,MTG,2019-01-28,BR,150.000000
516,080416DSN,MTG,2019-01-28,BR,100.000000
517,080416GT,MTG,2019-01-28,BR,30.000000
518,080416P,MTG,2019-01-28,BR,300.000000
519,082016DSN,MTG,2019-01-28,BR,100.000000
520,085116FF,MTG,2019-01-28,BR,150.000000
521,085600FF,MTG,2019-01-28,BR,81.000000
522,086416PUN,MTG,2019-01-28,BR,30.000000
523,087616GF,MTG,2019-01-28,BR,25.000000
524,089816,MTG,2019-01-28,BR,50.000000
525,089816GF,MTG,2019-01-28,BR,75.000000
526,091316P,MTG,2019-01-28,BR,30.000000
527,094400FF,MTG,2019-01-28,BR,51.000000
528,094616DGP-A,MTG,2019-01-28,BR,75.000000
529,094616PUN,MTG,2019-01-28,BR,30.000000
530,100117,MTG,2019-01-28,BR,1250.000000
531,102032,MTG,2019-01-28,BR,40.000000
532,11012663,MTG,2019-01-28,BR,48.000000
533,1170570.B,MTG,2019-01-28,BR,150.000000
534,15358591,MTG,2019-01-28,BR,100.000000
535,17997594,MTG,2019-01-28,BR,200.000000
536,17997602,MTG,2019-01-28,BR,150.000000
537,17997610,MTG,2019-01-28,BR,300.000000
538,18009969,MTG,2019-01-28,BR,50.000000
539,185-DE050C12,MTG,2019-01-28,BR,148.000000
540,19903USA.B,MTG,2019-01-28,BR,350.000000
541,303000.B,MTG,2019-01-28,BR,88800.000000
542,58200.B,MTG,2019-01-28,BR,125.000000
543,602024,MTG,2019-01-28,BR,100.000000
544,602046,MTG,2019-01-28,BR,1500.000000
