Part_Number,Description,Unit,StorageType,Excess_Storage,GeneralLocation,SpecificLocation
030000,CHEM - ACCUSOL 820,LB,Tote,,MainMaterials,MM04
030001,CHEM - Maquat QSX 105S,LB,Drum,,BlendingRack,BR3D
030002,CHEM - APS 286 EMULSION,LB,Drum,,BlendingRack,BR3A
030003,FRAGRANCE-Coconut W/W #66716,LB,Drum,,BlendingRack,BR2I
030004,FRAGRANCE-LEMON #AJ197448,LB,Drum,,BlendingRack,BR1J
030007,CHEM - AMMONIUM CHLORIDE Treat,LB,PowderBags,,LabRack,"LR2B, LR2C"
030008CN,CHEM - COLADET DEF15,LB,Tote,,BlendingOffice,BO7
030009,DYE-TURQUOISE GREEN 8GL  #205-,LB,Pail,,DyeShelves,DyeShelves
030010,CHEM - DDBSA sod dodecylbenzen,LB,Drum,,ErnestRack,ER4D
030011,CHEM - GLYCOL ETHER DPM,LB,Tote and Drum,,Shed2,BS2D
030012,CHEM - GLYCOL ETHER EB,LB,Tote and Drum,,Shed2,BS2C
030013,CHEM - SODIUM XYLENE SULFONATE,LB,Drum,,BlendingRack,BR2C
030015,CHEM - SULFURIC ACID,LB,Tote,,Shed2,BS2B
030016,DYE-KEYACID Napthol Green B-1,LB,Pail,,DyeShelves,DyeShelves
030018,CHEM - ISOPROPYL ALCOHOL,LB,Tote,,Shed2,BS2E
030019,CHEM - Dissolvine / Mayquest (,LB,Tote,,MainMaterials,MM19
030020,CHEM - COCAMIDE DEA - mackamid,LB,Drum,,BlendingRack,BR3I
030021,CHEM - LAURAMINE OXIDE (STANFA,LB,Drum,,BlendingRack,BR2L
030024,CHEM - SODIUM HYPOCHLORITE12.5,LB,Tote,,HypoArea ,(in Joey's warehouse)
030025,CHEM - OXALIC ACID,LB,PowderBags,,MainMaterials,MM18
030026,CHEM - MAQUAT (mason cs465),LB,Tote,,BlendingOffice,BO5
030028,DYE-KEYSTONE FAST GREEN 5050,LB,Pail,,DyeShelves,DyeShelves
030031,CHEM - Glycol Ether DPNB   (fo,LB,Drum,,BlendingRack,BR3K
