,ItemCode, WarehouseCode, BinLocation, ReorderMethod, QuantityOnHand, QuantityOnPurchaseOrder, QuantityOnSalesOrder, QuantityOnBackOrder, AverageCost, QuantityRequiredForWO, EconomicOrderQty, ReorderPointQty, MinimumOrderQty, MaximumOnHandQty, QuantityOnWorkOrder, QuantityInShipping, TotalWarehouseValue, CostCalcQtyCommitted, CostCalcCostCommitted, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, LastPhysicalCountDate
842,035001A8,MTG,,E,735.000000,0.000000,0.000000,0.000000,0.245000,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,0.000000,180.06,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,15.38801,0000000003,2021-12-31
843,035001A9,MTG,,E,730.000000,0.000000,0.000000,0.000000,0.245500,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,0.000000,179.21,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,15.38801,0000000003,2021-12-31
844,035001C,MTG,,E,0.000000,0.000000,0.000000,20.000000,12.663800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-09,11.95027,0000000003,2021-12-31
845,035001CA1,MTG,,E,127.000000,0.000000,0.000000,0.000000,0.244200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.01,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-20,14.72529,0000000003,2021-12-31
846,035001CA2,MTG,,E,127.000000,0.000000,0.000000,0.000000,0.244200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.01,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-20,14.72529,0000000003,2021-12-31
847,035001CA3,MTG,,E,724.000000,0.000000,0.000000,0.000000,0.060900,0.000000,0.000000,60.000000,0.000000,0.000000,0.000000,0.000000,44.09,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,15.38801,0000000003,2021-12-31
848,035001M1,MTG,,E,4754.000000,0.000000,0.000000,0.000000,7.352800,0.000000,0.000000,725.000000,0.000000,0.000000,0.000000,0.000000,34955.10,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,15.38801,0000000003,2021-12-31
849,035001M2,MTG,,E,4512.000000,0.000000,0.000000,0.000000,0.934500,0.000000,0.000000,250.000000,3500.000000,0.000000,0.000000,0.000000,4216.57,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,15.38801,0000000003,2021-12-31
850,035001M3,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
851,038010,MTG,,E,0.000000,0.000000,50.000000,0.000000,4.090400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-21,13.64624,0000000049,2021-12-31
852,038010A1,MTG,,E,1638.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-19,13.48522,0000000003,2021-12-31
853,038010A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2013-04-04,8.29007,0000000003,2022-01-03,14.97914,0000000003,2021-12-31
854,038010M1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-01,8.38834,0000000007,2021-12-31
855,040039A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
856,040041,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.176600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
857,040041A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
858,040046,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.983200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
859,040047,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.095000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
860,040048,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.027600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
861,040048A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
862,040050,MTG,,E,0.000000,0.000000,0.000000,0.000000,2.989100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
863,040050P,MTG,,E,0.000000,0.000000,0.000000,0.000000,4.122000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-08,13.65509,0000000003,2021-12-31
864,040051,MTG,,E,0.000000,0.000000,0.000000,10.000000,3.884500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2017-06-08,6.712,0000000007,2022-08-05,11.564,0000000003,2021-12-31
865,040129A2,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
866,040250A2,MTG,,E,0.000000,0.000000,0.000000,0.000000,33.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
867,040251OM,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
868,040618,MTG,,E,0.000000,0.000000,0.000000,0.000000,1.251500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2018-05-30,9.08636,0000000007,2022-01-03,14.97914,0000000003,2021-12-31
869,040624WME,MTG,,E,0.000000,0.000000,0.000000,0.000000,2.233500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2020-02-19,8.41761,0000000007,2022-03-03,12.32447,0000000007,2021-12-31
870,043809,MTG,,E,0.000000,0.000000,0.000000,0.000000,17.632800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-14,12.49573,0000000003,2021-12-31
871,043809A1,MTG,,E,2477.000000,0.000000,0.000000,0.000000,0.099300,0.000000,0.000000,600.000000,1000.000000,0.000000,0.000000,0.000000,246.07,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-13,13.40705,0000000003,2021-12-31
872,043809A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.073100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
873,043809A2,MTG,,E,2475.000000,0.000000,0.000000,0.000000,0.419000,0.000000,0.000000,600.000000,1000.000000,0.000000,0.000000,0.000000,1037.03,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-13,13.40705,0000000003,2021-12-31
874,043809A2,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.305100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
875,043810,MTG,,E,0.000000,0.000000,4500.000000,0.000000,16.280200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-28,6.02379,0000000049,2021-12-31
876,043810A1,MTG,,E,28066.000000,21000.000000,0.000000,0.000000,0.090300,0.000000,0.000000,16000.000000,6000.000000,0.000000,0.000000,0.000000,2535.10,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-28,8.04439,0000000036,2021-12-31
877,043810A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.082900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-06-01,9.62284,0000000003,2021-12-31
878,043810A2,MTG,,E,28761.000000,21000.000000,0.000000,0.000000,0.356600,0.000000,0.000000,16000.000000,0.000000,0.000000,0.000000,0.000000,10254.98,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-07-28,8.0457,0000000036,2021-12-31
879,043810A2,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.228100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
880,050000,000,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
881,050000,MTG,,R,50287.500000,131852.000000,0.000000,0.000000,14.688000,0.000000,0.000000,20000.000000,22000.000000,0.000000,0.000000,0.000000,738622.81,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-09,14.25029,0000000003,2021-12-31
882,050000,SSI,,R,0.000000,0.000000,0.000000,0.000000,6.064200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
883,050000B,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
884,050000B,SSI,,E,0.000000,0.000000,0.000000,0.000000,4.173700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
885,050000G,MTG,,E,25711.102600,238041.000000,0.000000,0.000000,12.390000,0.000000,0.000000,24000.000000,4285.000000,0.000000,0.000000,0.000000,318560.53,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-09,15.58545,0000000036,2021-12-31
886,050000G,SSI,,E,0.000000,0.000000,0.000000,0.000000,4.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-06-01,8.57709,0000000003,2022-01-03,14.97914,0000000003,2021-12-31
887,050001,MTG,,E,0.000000,0.000000,0.000000,0.000000,10.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
888,050003,MTG,,E,0.000000,0.000000,0.000000,0.000000,12.998800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
889,050004,MTG,,E,0.000000,0.000000,0.000000,0.000000,100.279800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
890,050007,MTG,,E,5779.000000,3400.000000,0.000000,0.000000,0.370000,0.000000,0.000000,5425.000000,3500.000000,0.000000,0.000000,0.000000,2138.23,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-04,13.17172,0000000003,2021-12-31
891,050008,MTG,,E,289.281000,0.000000,0.000000,0.000000,12.510400,0.000000,0.000000,175.000000,60.000000,0.000000,0.000000,0.000000,3619.03,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-03,10.77819,0000000003,2021-12-31
892,050008,SWI,,E,0.000000,0.000000,0.000000,0.000000,11.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
893,050012,MTG,,E,64.798000,0.000000,0.000000,0.000000,24.296100,0.000000,0.000000,20.000000,40.000000,0.000000,0.000000,0.000000,1574.34,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-08,14.36068,0000000055,2021-12-31
894,050014,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
895,050015,MTG,,E,5907.000000,0.000000,0.000000,0.000000,1.956500,0.000000,0.000000,2450.000000,2789.000000,0.000000,0.000000,0.000000,11557.03,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-08-09,13.53228,0000000003,2021-12-31
896,050015,SSI,,E,0.000000,0.000000,0.000000,0.000000,1.090800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-01-03,14.97914,0000000003,2021-12-31
