id,blend_item_code,step_number,step_description,component_item_code
2588,98200.B,4,Charge vessel with Conoco Pure Performance 80.,100475.0
2590,98200.B,6,Add Lanolin,100475.0
2591,98200.B,7,Add CA 1146,100524.0
2592,98200.B,8,Add CER-150SN,100525.0
2600,AF600.B,4,Charge vessel with PG.,50000.0
2602,AF600.B,6,Add (Undyed) Metal Guard A-65,601021.0
2603,AF600.B,7,Add DI water,30143.0
2605,AF600.B,9,Add Phosphoric Acid,240079.0
2607,AF600.B,11,Add Chromatint Blue 408,30112.0
2608,AF600.B,12,Add Chromatint Red 1887,50017.0
2616,AF600FS.B,4,Charge vessel with PG.,50000.0
2618,AF600FS.B,6,Add (Undyed) Metal Guard A-65,601021.0
2619,AF600FS.B,7,Add Phosphoric Acid,240079.0
2621,AF600FS.B,9,Add Chromatint Blue 408,30112.0
2622,AF600FS.B,10,Add Chromatint Red 1887,50017.0
2630,FULL STR,4,Charge mix vessel with PG,50000.0
2631,FULL STR,5,Add Polyglycol 112-2,30121.0
2632,FULL STR,6,Add BTNN80,30176.0
2640,Flush.B,4,Charge mix vessel with DI Water.,30143.0
2641,Flush.B,5,Add Sodium Hypochlorite 12.5%,30024.0
2650,K4199-1.B,4,Charge vessel with DI Water,30143.0
2653,K4199-1.B,7,Add Busan 1264,30165.0
2654,K4199-1.B,8,Add Wintrol MBT-50Na (DO NOT MIX WITH NACAP),100511.0
2655,K4199-1.B,9,Add Bitrex Solution,601015.0
2656,K4199-1.B,10,Add Ethylene Glycol,50008.0
2657,K4199-1.B,11,Add Chromatech Red 40 C73024X,0.0
2664,KA00116.B,4,Charge vessel with DI water.,30143.0
2667,KA00116.B,7,Add Sodium Benzoate,30154.0
2669,KA00116.B,9,Add Methylene Chloride blue,30155.0
2671,KA00116.B,11,Add Tomadol 91-8,31013.0
2733,EU052000G4-21,6,Add CHEM -Busan 1264,30146
2815,EU052001G16/38G,6,Add CHEM - Busan 1264,30146
2869,EU052003G25/65G,6,Add Busan 1264,30146
