Year,Rank,VendorNo,Vendor,TotalSpend,Top3Items
2025,15,CKSPACK,"CKS PACKAGING, INC.","$416,822.76","100116 - BOTTLE-8oz STARTRON TRNSBLUE ($186,457) | 100113 - BOTTLE-32oz OIL QUART-BLUE ($81,082) | PET022019BLANK - BOTTLE-22oz White PET NO S spr ($32,885)"
2025,16,ECOENER,"ECO-ENERGY, LLC","$386,189.30","031018 - CHEM - Denatured Alcohol ($386,189)"
2025,17,CLEANFR,"CLEAN FUEL RESOURCES LLC","$377,000.00","PP100433 - CHEM - Pre-purch Enzyme Conc ($377,000)"
2025,18,KING,"KING INDUSTRIES","$366,254.35","030105 - CHEM - NA SUL 437 ($354,032) | 030173 - CHEM - Na-lube BL-1208 ($12,221)"
2025,19,TKSUPPL,"T K SUPPLIES","$365,989.99","502403 - CAP-38MM CRC 809 WHITE HDPE ($278,249) | 38MSRVENT - CAP-38/400 CRC VENT foil/foam ($27,506) | 607504 - CAP-38MM CRC H/S for PVC ($11,406)"
2025,20,COLCHEM,"COLONIAL CHEMICAL, INC.","$364,170.32","030008CN - CHEM - COLADET DEF15 ($282,276) | 030113 - CHEM - COLADET 190 ($56,117) | 030104 - CHEM - Colaliquid-DO - Mod Soy ($20,066)"
2025,21,BRENLUB,"BRENNTAG LUBRICANTS LLC","$337,676.14","100450 - CHEM - Infineum S956 ($190,525) | 100424 - CHEM - INFINEUM SV265 ($84,207) | 100422 - CHEM - INFINEUM V385 ($35,317)"
2025,22,BERRY,"BERRY GLOBAL, INC.","$297,060.45","607521 - CAP-28/400 CRC-FOIL-PVC 327LNR ($172,500) | 607508RED - CAP-22/400 CRC FOIL-PVC RED St ($63,030) | 607508 - CAP-22/400 CRC FOIL-PVC wht St ($27,462)"
2025,23,KEMKRES,"KEM KREST","$293,221.14","101766 - BLEND-PREM MAR POLISH USA (non ($100,345) | 101781 - BLEND-HVY DTY CLNR WAX USA (no ($93,193) | 124971 - BLEND-Super Hvy Duty Clnr Wax ($34,209)"
2025,24,GUALA,"GUALA DISPENSING MEXICO S.A. de C.V.","$258,377.60","607503G-NON - CAP-Trigger 28mm Guala NONCRC ($195,840) | 607503G-CRC - CAP-Trigger 28mm Guala CRC ($36,864) | 607503G-WPTS5 - CAP-Trigger 28mm Guala TS5 (sp ($18,761)"
2025,25,SYNRAY,SYNRAY,"$234,963.47","030195 - CHEM - SYNRAY 1182 ($234,963)"
